timestamp,elapsed-time,elapsed-seconds,inserts,overall-ips,total-documents,this-interval-ips,this-interval-latency-ms,last-10-intervals-ips,last-10-intervals-latency-ms
2025-09-11T08:06:07.502Z,00:12:20.65,740.65,1178000,1590.49,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:06:17.508Z,00:12:30.66,750.66,1178000,1569.29,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:06:27.512Z,00:12:40.66,760.66,1178000,1548.65,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:06:37.517Z,00:12:50.67,770.67,1178000,1528.54,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:06:47.520Z,00:13:00.67,780.67,1178000,1508.95,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:06:57.524Z,00:13:10.68,790.68,1178000,1489.86,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:07:07.532Z,00:13:20.68,800.68,1178000,1471.24,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:07:17.536Z,00:13:30.69,810.69,1178000,1453.09,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:07:27.539Z,00:13:40.69,820.69,1178000,1435.37,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:07:37.542Z,00:13:50.69,830.69,1178000,1418.09,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:07:47.548Z,00:14:00.70,840.70,1178000,1401.21,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:07:57.553Z,00:14:10.70,850.70,1178000,1384.73,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:08:07.560Z,00:14:20.71,860.71,1178000,1368.63,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:08:17.564Z,00:14:30.72,870.72,1178000,1352.91,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:08:27.568Z,00:14:40.72,880.72,1178000,1337.54,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:08:37.571Z,00:14:50.72,890.72,1178000,1322.52,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:08:47.580Z,00:15:00.73,900.73,1178000,1307.83,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:08:57.589Z,00:15:10.74,910.74,1178000,1293.45,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:09:07.592Z,00:15:20.74,920.74,1178000,1279.40,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:09:17.595Z,00:15:30.75,930.75,1178000,1265.65,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:09:27.599Z,00:15:40.75,940.75,1178000,1252.19,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:09:37.603Z,00:15:50.76,950.76,1178000,1239.02,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:09:47.611Z,00:16:00.76,960.76,1178000,1226.11,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:09:57.618Z,00:16:10.77,970.77,1178000,1213.47,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:10:07.622Z,00:16:20.77,980.77,1178000,1201.09,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:10:17.625Z,00:16:30.78,990.78,1178000,1188.96,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:10:27.629Z,00:16:40.78,1000.78,1178000,1177.08,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:10:37.633Z,00:16:50.79,1010.79,1178000,1165.43,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:10:47.637Z,00:17:00.79,1020.79,1178000,1154.01,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:10:57.643Z,00:17:10.80,1030.80,1178000,1142.81,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:11:07.646Z,00:17:20.80,1040.80,1178000,1131.82,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:11:17.649Z,00:17:30.80,1050.80,1178000,1121.05,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:11:27.654Z,00:17:40.81,1060.81,1178000,1110.48,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:11:37.657Z,00:17:50.81,1070.81,1178000,1100.10,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:11:47.660Z,00:18:00.81,1080.81,1178000,1089.92,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:11:57.663Z,00:18:10.82,1090.82,1178000,1079.93,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:12:07.666Z,00:18:20.82,1100.82,1178000,1070.11,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:12:17.671Z,00:18:30.82,1110.82,1178000,1060.47,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:12:27.674Z,00:18:40.83,1120.83,1178000,1051.01,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:12:37.677Z,00:18:50.83,1130.83,1178000,1041.71,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:12:47.681Z,00:19:00.83,1140.83,1178000,1032.58,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:12:57.684Z,00:19:10.84,1150.84,1178000,1023.60,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:13:07.688Z,00:19:20.84,1160.84,1178000,1014.78,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:13:17.692Z,00:19:30.84,1170.84,1178000,1006.11,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:13:27.701Z,00:19:40.85,1180.85,1178000,997.58,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:13:37.706Z,00:19:50.86,1190.86,1178000,989.20,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:13:47.715Z,00:20:00.87,1200.87,1178000,980.96,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:13:57.724Z,00:20:10.88,1210.88,1178000,972.85,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:14:07.733Z,00:20:20.89,1220.89,1178000,964.87,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:14:17.736Z,00:20:30.89,1230.89,1178000,957.03,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:14:27.745Z,00:20:40.90,1240.90,1178000,949.31,1178000,0.00,0.00,0.00,0.00
2025-09-11T08:14:37.747Z,00:20:50.90,1250.90,1178000,941.72,1178000,0.00,0.00,0.00,0.00
