timestamp,elapsed-time,elapsed-seconds,inserts,overall-ips,total-documents,this-interval-ips,this-interval-latency-ms,last-10-intervals-ips,last-10-intervals-latency-ms
2025-09-18T09:25:32.691Z,00:11:40.87,700.87,1252000,1786.36,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:25:42.695Z,00:11:50.87,710.87,1252000,1761.23,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:25:52.698Z,00:12:00.87,720.87,1252000,1736.79,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:26:02.702Z,00:12:10.88,730.88,1252000,1713.01,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:26:12.704Z,00:12:20.88,740.88,1252000,1689.89,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:26:22.706Z,00:12:30.88,750.88,1252000,1667.38,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:26:32.709Z,00:12:40.88,760.88,1252000,1645.46,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:26:42.712Z,00:12:50.89,770.89,1252000,1624.10,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:26:52.715Z,00:13:00.89,780.89,1252000,1603.30,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:27:02.717Z,00:13:10.89,790.89,1252000,1583.02,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:27:12.720Z,00:13:20.89,800.89,1252000,1563.25,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:27:22.723Z,00:13:30.90,810.90,1252000,1543.97,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:27:32.727Z,00:13:40.90,820.90,1252000,1525.15,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:27:42.730Z,00:13:50.90,830.90,1252000,1506.79,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:27:52.733Z,00:14:00.91,840.91,1252000,1488.87,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:28:02.736Z,00:14:10.91,850.91,1252000,1471.36,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:28:12.740Z,00:14:20.91,860.91,1252000,1454.27,1252000,0.00,0.00,0.00,0.00
